Title: Micro Gasoil 0.1% Barges FOB ARA (Platts)
Last Updated Date: Last Updated 19 May 2023 10:32:00 PM CT
Month,Open,High,Low,Last,Change,Settle,Est. Volume,Prior day OI
Month,Open,High,Low,Last,Change,Settle,Est. Volume,Prior day OI
MAY 23,-,-,-,-,-1.575,657.788,0,230
JUN 23,-,-,-,-,-4.261,665.508,44,497
JLY 23,-,-,-,-,-4.834,664.083,0,377
AUG 23,-,-,-,-,-4.577,666.793,9,367
SEP 23,-,-,-,-,-5.167,669.25,0,129
OCT 23,-,-,-,-,-3.5,671.159,0,143
NOV 23,-,-,-,-,-3.329,667.182,0,93
DEC 23,-,-,-,-,-3.25,665.1,0,81
JAN 24,-,-,-,-,-3.25,668.398,0,32
FEB 24,-,-,-,-,-3.25,666.667,0,27
MAR 24,-,-,-,-,-3.087,664.538,0,12
APR 24,-,-,-,-,-2.841,662.318,0,16
MAY 24,-,-,-,-,-2.576,659.587,0,31
JUN 24,-,-,-,-,-2.5,658.1,0,16
JLY 24,-,-,-,-,-1.75,658.011,0,19
AUG 24,-,-,-,-,-1.75,657.58,0,34
SEP 24,-,-,-,-,-1.75,657.655,0,19
OCT 24,-,-,-,-,-1.577,656.88,0,12
NOV 24,-,-,-,-,-1.5,655.333,0,12
DEC 24,-,-,-,-,-1.5,654.44,0,27
FEB 25,-,-,-,-,-2.25,655.513,0,15
MAY 25,-,-,-,-,-2.75,648.125,0,15
AUG 25,-,-,-,-,-2.75,644.583,0,15
DEC 25,-,-,-,-,-3.25,639.364,0,15
